seed,component,method,metric,value
48,detector,three_state,known_rejection_rate,0.025
48,detector,three_state,HEDGES_unknown_recall,0.09
48,detector,three_state,DNA_Aeon_unknown_recall,0.08
48,detector,three_state,combined_unknown_recall,0.085
48,detector,three_state,unknown_forced_known_rate,0.08
48,detector,three_state,unknown_misclassified_as_BCH_rate,0.07
48,detector,three_state,known_type_macro_f1,0.8202317206265483
48,detector,three_state,known_type_macro_f1_change_from_closed,-0.015228947423006733
48,detector,three_state,AUROC,0.9903625
48,detector,three_state,AUPR,0.9833520022673872
48,detector,three_state,FPR_at_95_TPR,0.035
48,detector,three_state,known_ecc_output_rate,0.975
48,detector,three_state,uncertain_ecc_output_rate,0.29
48,detector,three_state,unknown_ecc_output_rate,0.03333333333333333
48,detector,three_state,unknown_risk_coverage,0.92
48,detector,three_state,known_uncertain_rate,0.0175
48,detector,three_state,unknown_uncertain_rate,0.835
48,detector,three_state,decisive_coverage_ecc,0.71
48,detector,three_state,decisive_accuracy_ecc,0.9553990610328639
48,detector,three_state,manual_review_rate_all_archives,0.24857142857142858
48,detector,three_state,unknown_direct_known_rate,0.08
48,detector,G_all,known_acceptance_rate,0.98
48,detector,G_all,known_rejection_rate,0.02
48,detector,G_all,HEDGES_unknown_recall,1.0
48,detector,G_all,DNA_Aeon_unknown_recall,0.84
48,detector,G_all,combined_unknown_recall,0.92
48,detector,G_all,unknown_forced_known_rate,0.08
48,detector,G_all,unknown_misclassified_as_BCH_rate,0.07
48,detector,G_all,known_type_macro_f1,0.8254077040634012
48,detector,G_all,known_type_macro_f1_change_from_closed,-0.01005296398615374
48,detector,G_all,AUROC,0.9903625
48,detector,G_all,AUPR,0.9833520022673872
48,detector,G_all,FPR_at_95_TPR,0.035
49,closed_set,closed_set,archive_macro_f1,0.833063224050514
49,presence,presence,known_acceptance_rate,1.0
49,detector,energy_only,known_acceptance_rate,0.975
49,detector,energy_only,known_rejection_rate,0.025
49,detector,energy_only,HEDGES_unknown_recall,0.1
49,detector,energy_only,DNA_Aeon_unknown_recall,0.12
49,detector,energy_only,combined_unknown_recall,0.11
49,detector,energy_only,unknown_forced_known_rate,0.89
49,detector,energy_only,unknown_misclassified_as_BCH_rate,0.87
49,detector,energy_only,known_type_macro_f1,0.830226987688397
49,detector,energy_only,known_type_macro_f1_change_from_closed,-0.0028362363621170505
49,detector,energy_only,AUROC,0.8744125
49,detector,energy_only,AUPR,0.6789814352582835
49,detector,energy_only,FPR_at_95_TPR,0.255
49,detector,proxy_only,known_acceptance_rate,0.9725
49,detector,proxy_only,known_rejection_rate,0.0275
49,detector,proxy_only,HEDGES_unknown_recall,1.0
49,detector,proxy_only,DNA_Aeon_unknown_recall,0.8
49,detector,proxy_only,combined_unknown_recall,0.9
49,detector,proxy_only,unknown_forced_known_rate,0.1
49,detector,proxy_only,unknown_misclassified_as_BCH_rate,0.085
49,detector,proxy_only,known_type_macro_f1,0.810960182903349
49,detector,proxy_only,known_type_macro_f1_change_from_closed,-0.022103041147164992
49,detector,proxy_only,AUROC,0.9854875
49,detector,proxy_only,AUPR,0.9754681060774741
49,detector,proxy_only,FPR_at_95_TPR,0.105
49,detector,three_state,known_acceptance_rate,0.955
49,detector,three_state,known_rejection_rate,0.045
49,detector,three_state,HEDGES_unknown_recall,0.1
49,detector,three_state,DNA_Aeon_unknown_recall,0.12
49,detector,three_state,combined_unknown_recall,0.11
49,detector,three_state,unknown_forced_known_rate,0.1
49,detector,three_state,unknown_misclassified_as_BCH_rate,0.085
49,detector,three_state,known_type_macro_f1,0.8114038882731924
49,detector,three_state,known_type_macro_f1_change_from_closed,-0.021659335777321598
49,detector,three_state,AUROC,0.9854875
49,detector,three_state,AUPR,0.9754681060774741
49,detector,three_state,FPR_at_95_TPR,0.105
49,detector,three_state,known_ecc_output_rate,0.955
49,detector,three_state,uncertain_ecc_output_rate,0.28833333333333333
49,detector,three_state,unknown_ecc_output_rate,0.041666666666666664
49,detector,three_state,unknown_risk_coverage,0.9
49,detector,three_state,known_uncertain_rate,0.0375
49,detector,three_state,unknown_uncertain_rate,0.79
49,detector,three_state,decisive_coverage_ecc,0.7116666666666667
49,detector,three_state,decisive_accuracy_ecc,0.9461358313817331
49,detector,three_state,manual_review_rate_all_archives,0.24714285714285714
49,detector,three_state,unknown_direct_known_rate,0.1
49,detector,G_all,known_acceptance_rate,0.9725
49,detector,G_all,known_rejection_rate,0.0275
49,detector,G_all,HEDGES_unknown_recall,1.0
49,detector,G_all,DNA_Aeon_unknown_recall,0.8
49,detector,G_all,combined_unknown_recall,0.9
49,detector,G_all,unknown_forced_known_rate,0.1
49,detector,G_all,unknown_misclassified_as_BCH_rate,0.085
49,detector,G_all,known_type_macro_f1,0.810960182903349
49,detector,G_all,known_type_macro_f1_change_from_closed,-0.022103041147164992
49,detector,G_all,AUROC,0.9854875
49,detector,G_all,AUPR,0.9754681060774741
49,detector,G_all,FPR_at_95_TPR,0.105
50,closed_set,closed_set,archive_macro_f1,0.7861670692952601
50,presence,presence,known_acceptance_rate,1.0
50,detector,energy_only,known_acceptance_rate,0.9825
50,detector,energy_only,known_rejection_rate,0.0175
50,detector,energy_only,HEDGES_unknown_recall,0.03
50,detector,energy_only,DNA_Aeon_unknown_recall,0.06
50,detector,energy_only,combined_unknown_recall,0.045
50,detector,energy_only,unknown_forced_known_rate,0.955
50,detector,energy_only,unknown_misclassified_as_BCH_rate,0.95
50,detector,energy_only,known_type_macro_f1,0.7751243358397515
50,detector,energy_only,known_type_macro_f1_change_from_closed,-0.011042733455508658
50,detector,energy_only,AUROC,0.8818125
50,detector,energy_only,AUPR,0.6805187933521109
50,detector,energy_only,FPR_at_95_TPR,0.245
