seed,error_rate,mode,known_acceptance_rate,known_no_ecc_rate,known_proxy_rejection_rate,closed_macro_f1,known_type_macro_f1,known_type_macro_f1_change_from_closed,no_ecc_specificity,HEDGES_unknown_recall,DNA_Aeon_unknown_recall,combined_unknown_recall,unknown_direct_known_rate,unknown_misclassified_as_BCH_rate,AUROC,AUPR,FPR_at_95_TPR
44,0.1,recalibrated,0.9,0.085,0.015,0.5229885057471264,0.45868347338935567,-0.06430503235777074,1.0,1.0,0.56,0.78,0.07,0.07,0.99085,0.9844912536494265,0.035
44,0.15,fixed,0.555,0.445,0.0,0.4801559296972141,0.24293785310734461,-0.2372180765898695,1.0,1.0,0.0,0.5,0.0,0.0,0.9901,0.9835695225729875,0.045
44,0.15,recalibrated,0.555,0.445,0.0,0.4801559296972141,0.24293785310734461,-0.2372180765898695,1.0,1.0,0.0,0.5,0.0,0.0,0.9901,0.9835695225729875,0.045
44,0.2,fixed,0.5,0.5,0.0,0.4545454545454545,0.16666666666666666,-0.28787878787878785,1.0,0.0,0.0,0.0,0.0,0.0,0.98425,0.9721813525814863,0.06
44,0.2,recalibrated,0.5,0.5,0.0,0.4545454545454545,0.16666666666666666,-0.28787878787878785,1.0,0.0,0.0,0.0,0.0,0.0,0.98425,0.9721813525814863,0.06
45,0.0,fixed,0.955,0.0,0.045,0.7442870826491517,0.7159587998208687,-0.028328282828282925,1.0,0.92,0.9,0.91,0.09,0.09,0.9878,0.9763749373777901,0.09
45,0.0,recalibrated,0.915,0.0,0.085,0.7442870826491517,0.6968904624886019,-0.047396620160549796,1.0,0.92,0.92,0.92,0.08,0.08,0.9878,0.9763749373777901,0.09
45,0.01,fixed,0.965,0.0,0.035,0.7172172066651769,0.6940522710975942,-0.0231649355675827,1.0,0.94,0.9,0.92,0.08,0.07,0.9912,0.9825386884302997,0.055
45,0.01,recalibrated,0.93,0.0,0.07,0.7172172066651769,0.6827523197120813,-0.034464886953095575,1.0,1.0,0.92,0.96,0.04,0.03,0.9912,0.9825386884302997,0.055
45,0.05,fixed,0.97,0.0,0.03,0.635689282469373,0.6141966905542459,-0.02149259191512709,1.0,1.0,0.8,0.9,0.1,0.09,0.98725,0.9799069905507054,0.095
45,0.05,recalibrated,0.945,0.0,0.055,0.635689282469373,0.6016303086563007,-0.03405897381307221,1.0,1.0,0.84,0.92,0.08,0.07,0.98725,0.9799069905507054,0.095
45,0.1,fixed,0.905,0.085,0.01,0.5882659007659008,0.5533625021104598,-0.03490339865544101,1.0,1.0,0.72,0.86,0.08,0.07,0.99085,0.9844720854208071,0.04
45,0.1,recalibrated,0.88,0.085,0.035,0.5882659007659008,0.5334778948909383,-0.054788005874962464,1.0,1.0,0.78,0.89,0.05,0.04,0.99085,0.9844720854208071,0.04
45,0.15,fixed,0.6,0.4,0.0,0.5234229324789244,0.29927946474523937,-0.224143467733685,1.0,1.0,0.0,0.5,0.0,0.0,0.98905,0.9801502010006878,0.055
45,0.15,recalibrated,0.6,0.4,0.0,0.5234229324789244,0.29927946474523937,-0.224143467733685,1.0,1.0,0.0,0.5,0.0,0.0,0.98905,0.9801502010006878,0.055
